sim;Type;S1;S2;S3;S4;S5_Type;S5;S5_Aimp;S7_Type;S7;S7_Aimp;S8_Type;S8;S8_Aimp;S9_Type;S9;S9_Aimp;S10_Type;S10;S10_Aimp;S11_Type;S11;S11_Aimp
139;GR5;938.857898;494.435864;505.979207;921.110789;BC;32.8118202;273.431835;BC;24.12616272;201.051356;GS;15.9366215;318.73243;GS;38.64515184;322.042932;TRE;21;285.671996;GS;6.44881236;214.960412
140;GR5;0;494.435864;505.979207;921.110789;GS;41.01477525;273.431835;BC;22.11564916;201.051356;TRE;0;318.73243;TRE;35;287.042932;GS;33.73391956;306.671996;GS;8.59841648;214.960412
141;GR5;0;494.435864;0;921.110789;TRE;14;259.431835;BC;28.14718984;201.051356;GS;41.4352159;318.73243;TRE;7;315.042932;TRE;7;299.671996;GS;30.09445768;214.960412
142;GR5;938.857898;494.435864;0;921.110789;GS;38.2804569;273.431835;GS;16.08410848;201.051356;TRE;28;290.73243;TRE;14;308.042932;BC;42.93407944;306.671996;BC;15.04722884;214.960412
143;GR20;938.857898;0;505.979207;0;GS;41.01477525;273.431835;GS;24.12616272;201.051356;TRE;14;304.73243;BC;25.76343456;322.042932;TRE;21;285.671996;BC;21.4960412;214.960412
144;GR20;938.857898;494.435864;505.979207;0;GS;24.60886515;273.431835;BC;22.11564916;201.051356;BC;19.1239458;318.73243;GS;45.08601048;322.042932;BC;42.93407944;306.671996;BC;23.64564532;214.960412
145;GR20;0;494.435864;505.979207;0;TRE;0;273.431835;TRE;21;180.051356;BC;19.1239458;318.73243;GS;41.86558116;322.042932;BC;3.06671996;306.671996;GS;30.09445768;214.960412
146;GR5;0;494.435864;0;0;TRE;14;259.431835;TRE;14;187.051356;GS;15.9366215;318.73243;TRE;35;287.042932;BC;24.53375968;306.671996;GS;27.94485356;214.960412
147;GR5;938.857898;494.435864;0;0;TRE;14;259.431835;BC;24.12616272;201.051356;GS;44.6225402;318.73243;GS;45.08601048;322.042932;TRE;7;299.671996;BC;30.09445768;214.960412
148;GR5;938.857898;0;0;921.110789;BC;21.8745468;273.431835;BC;14.07359492;201.051356;GS;44.6225402;318.73243;BC;22.54300524;322.042932;TRE;14;292.671996;TRE;7;207.960412
149;GR5;0;0;505.979207;921.110789;BC;30.07750185;273.431835;TRE;14;187.051356;BC;0;318.73243;TRE;28;294.042932;TRE;14;292.671996;GS;2.14960412;214.960412
150;GR5;0;0;0;921.110789;BC;13.67159175;273.431835;GS;12.06308136;201.051356;BC;22.3112701;318.73243;GS;9.66128796;322.042932;BC;24.53375968;306.671996;GS;30.09445768;214.960412
